group,trade_count,win_rate,loss_rate,avg_pnl_abs,median_pnl_abs,avg_pnl_pct,median_pnl_pct,avg_bars_held,median_bars_held,avg_hold_hours,avg_underwater_hours,median_underwater_hours,avg_underwater_ratio,avg_max_consecutive_underwater_hours,avg_max_adverse_pct,median_max_adverse_pct,avg_max_favorable_pct,median_max_favorable_pct,first_move_adverse_rate,first_move_favorable_rate,material_adverse_0p5_rate,material_favorable_0p5_rate,avg_minutes_to_max_adverse,avg_minutes_to_max_favorable,side,entry_id,level_snapshot,exit_reason
,11,0.45454545454545453,0.5454545454545454,25.55471068854672,-9.08997369717546,0.5102644814254952,-0.1581822877396277,53.0,19.0,13.25,1.7045454545454544,1.0,0.40764610929117406,1.5227272727272727,1.00650791612272,0.9200585308242097,2.1811820039845795,0.8640855485841528,0.0,0.0,0.7272727272727273,0.5454545454545454,335.45454545454544,589.0909090909091,,Short3,,
,14,0.7857142857142857,0.21428571428571427,38.91605803582946,33.184254278606346,0.34674781569048146,0.2885512946178115,13.785714285714286,6.5,3.446428571428571,2.0,0.0,0.28102678571428574,1.9464285714285716,0.917009495274182,0.55771913991399,1.1247688217872889,0.7757668818483754,0.0,0.0,0.5714285714285714,0.7142857142857143,92.14285714285714,90.0,,TrendLong,,
,18,0.5555555555555556,0.4444444444444444,56.813872918647306,12.94533170275314,0.48716189556762957,0.14227853617362335,17.72222222222222,9.0,4.430555555555555,2.8472222222222223,0.25,0.4106806184012066,2.638888888888889,1.208479245475342,0.5446476316322857,2.365858725551854,1.5227621791497277,0.0,0.0,0.6666666666666666,0.7777777777777778,135.0,93.33333333333333,,TrendShort,,
,48,0.6666666666666666,0.3333333333333333,160.7432961858751,22.339308785600707,1.3818789641141838,0.24819979998358382,62.916666666666664,24.0,15.729166666666666,5.203125,0.75,0.33549667972652203,4.072916666666667,1.6579708479360977,0.8461202301651602,3.0945175809307295,1.8683237732078357,0.020833333333333332,0.0,0.7083333333333334,0.8333333333333334,228.125,513.75,,,0.0,
,560,0.6035714285714285,0.3964285714285714,0.07285141982501417,1.8217641357738654,0.02495604860580581,0.17175704110031775,67.99642857142857,55.0,16.99910714285714,6.311160714285714,1.5,0.40908125701599585,5.125,1.2889503353468,0.7169025318151807,1.4923771632308915,0.9928385752213877,0.060714285714285714,0.0,0.6053571428571428,0.7732142857142857,327.66964285714283,605.2767857142857,,,1.0,
,122,0.5737704918032787,0.4262295081967213,21.887183043776396,5.696732256599391,0.4395216158191209,0.13019289927552746,91.4672131147541,46.5,22.866803278688522,4.950819672131147,1.875,0.3732179290687714,3.6598360655737707,1.277939014354508,0.8780742962129022,2.1049302889702495,1.0737201243373478,0.06557377049180328,0.0,0.639344262295082,0.819672131147541,291.6393442622951,987.9098360655738,,,2.0,
,24,0.5833333333333334,0.4166666666666667,30.67190430768319,3.3549199322882655,0.4038191219617093,0.11758305528258844,44.166666666666664,16.0,11.041666666666666,1.6458333333333333,0.875,0.3466263353113579,1.3854166666666667,0.9996089797720936,0.7616358437251407,2.0151076628152844,1.2174368745637167,0.041666666666666664,0.0,0.7083333333333334,0.7083333333333334,238.75,465.0,,,3.0,
,22,0.7727272727272727,0.22727272727272727,239.78570490753083,50.076743216055505,2.0235906834411104,0.5046856539012379,67.5909090909091,22.0,16.897727272727273,3.1136363636363638,0.625,0.22470016479731528,2.375,1.636104589657725,0.6626981510065051,3.2874939960623553,1.6976901958057828,0.045454545454545456,0.0,0.6363636363636364,0.8181818181818182,175.22727272727272,700.2272727272727,long,,0.0,
,266,0.6203007518796992,0.37969924812030076,-0.5357105520172606,2.148094466727688,-0.02908353415215284,0.17883661584281446,68.21428571428571,54.0,17.053571428571427,5.818609022556391,1.25,0.3883450913525478,4.709586466165414,1.3970771441080454,0.7105810815831226,1.550145981778188,1.012739330407023,0.03007518796992481,0.0,0.6203007518796992,0.7969924812030075,319.5676691729323,636.5413533834586,long,,1.0,
,60,0.6,0.4,43.216464640459215,6.747940628821988,0.8786454074683367,0.18906172051396106,122.08333333333333,45.0,30.520833333333332,3.4583333333333335,1.0,0.2840493826206769,2.7,1.3248263333928618,0.8130173632868385,2.8290579678633048,1.31630244216752,0.05,0.0,0.6166666666666667,0.8666666666666667,269.75,1437.75,long,,2.0,
